	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)
VARIABLES	govjobs	govunemp	govgovincdiff	govretire	govhousing	govcare	govjobs	govunemp	govgovincdiff	govretire	govhousing	govcare	govjobs	govunemp	govgovincdiff	govretire	govhousing	govcare	govjobs	govunemp	govgovincdiff	govretire	govhousing	govcare	govjobs	govunemp	govgovincdiff	govretire	govhousing	govcare	govjobs	govunemp	govgovincdiff	govretire	govhousing	govcare	govjobs	govunemp	govgovincdiff	govretire	govhousing	govcare
																																										
govjobs	.						.						.						.						.						.						.					
cntryfe11	2.994***	2.354***	3.056***	0.582	0.587**	5.131***	3.427***	2.311***	3.279***	0.622	1.055	6.941***	3.026***	2.356***	3.175***	0.452*	0.604*	5.091***	1.756***	2.294***	1.761***	1.116	0.516***	1.319**	1.962***	2.263***	1.822***	1.179	0.722***	1.334	3.990***	2.738***	2.535***	1.119	1.314	6.590***	4.012***	2.460***	3.590***	0.484	0.658*	6.544***
	(8.423)	(5.557)	(8.162)	(-1.483)	(-2.763)	(4.910)	(8.383)	(4.694)	(7.652)	(-1.101)	(0.240)	(4.924)	(8.395)	(5.556)	(8.379)	(-1.961)	(-2.575)	(4.889)	(8.738)	(12.455)	(8.632)	(1.036)	(-9.625)	(2.710)	(7.594)	(8.412)	(6.662)	(1.004)	(-3.344)	(1.789)	(10.530)	(6.768)	(7.003)	(0.337)	(1.565)	(5.993)	(9.542)	(5.624)	(8.561)	(-1.844)	(-2.133)	(5.540)
cntryfe12	2.018***	2.137***	1.620***	7.681***	2.578***	8.487***	2.423***	2.093***	1.772***	8.012***	4.136***	10.506***	1.990***	2.144***	1.520***	7.753***	2.612***	8.398***	2.475***	2.181***	1.979***	6.797***	2.932***	14.638***	2.945***	2.136***	2.087***	7.332***	4.805***	14.859***	2.434***	2.162***	1.968***	6.796***	2.777***	15.253***	1.921***	2.131***	1.580***	9.397***	2.689***	8.589***
	(8.530)	(8.551)	(5.664)	(9.041)	(8.321)	(7.798)	(7.166)	(5.502)	(4.540)	(7.745)	(9.778)	(7.560)	(7.892)	(8.331)	(4.647)	(8.988)	(8.362)	(7.701)	(12.478)	(10.498)	(9.166)	(10.104)	(11.355)	(10.659)	(8.991)	(5.823)	(6.003)	(7.770)	(11.285)	(8.955)	(12.251)	(10.343)	(9.070)	(10.056)	(10.687)	(10.737)	(7.860)	(8.517)	(5.333)	(9.263)	(8.612)	(7.852)
o.cntryfe13	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
																																										
govunemp		.						.						.						.						.						.						.				
		(.)						(.)						(.)						(.)						(.)						(.)						(.)				
govgovincdiff			.						.						.						.						.						.						.			
			(.)						(.)						(.)						(.)						(.)						(.)						(.)			
govretire				.						.						.						.						.						.						.		
				(.)						(.)						(.)						(.)						(.)						(.)						(.)		
govhousing					.						.						.						.						.						.						.	
					(.)						(.)						(.)						(.)						(.)						(.)						(.)	
govcare						.						.						.						.						.						.						.
						(.)						(.)						(.)						(.)						(.)						(.)						(.)
socx							0.963*	1.004	0.981	0.989	0.893***	0.949													0.966	1.004	0.989	0.984	0.903***	0.997												
							(-1.986)	(0.205)	(-0.963)	(-0.289)	(-5.236)	(-1.457)													(-1.817)	(0.193)	(-0.545)	(-0.439)	(-4.852)	(-0.091)												
emprate													1.005	0.998	1.022*	1.040	0.989	1.006													0.924***	0.983	0.966**	1.000	0.917***	0.854***						
													(0.495)	(-0.145)	(2.198)	(1.713)	(-0.863)	(0.300)													(-7.176)	(-1.330)	(-3.153)	(-0.007)	(-5.811)	(-5.378)						
netmigpct																			1.012	1.014	0.997	1.151***	1.104***	1.043	1.014	1.014	0.997	1.148***	1.099***	1.043	1.171***	1.042	1.062*	1.151*	1.241***	1.415***	1.078***	1.018	1.047**	1.156***	1.111***	1.128**
